player_name,year_4,year_0,year_1,year_2,contract_length,total_contract_value,average_annual_value,current_year_salary,years_remaining
Stephen Curry,122193975.0,,,,1,122193975.0,122193975.0,,0
Joel Embiid,176072526.0,62748000.0,67396000.0,,3,306216526.0,102072175.33333333,62748000.0,2
Nikola Jokić,114257640.0,62841702.0,,,2,177099342.0,88549671.0,62841702.0,1
Kevin Durant,54708609.0,,,,1,54708609.0,54708609.0,,0
Jayson Tatum,242486496.0,62786682.0,67116798.0,71446914.0,4,443836890.0,110959222.5,62786682.0,3
Giannis Antetokounmpo,112583016.0,62786682.0,,,2,175369698.0,87684849.0,62786682.0,1
Anthony Davis,112583016.0,62786682.0,,,2,175369698.0,87684849.0,62786682.0,1
Jimmy Butler,110959223.0,,,,1,110959223.0,110959223.0,,0
Damian Lillard,54126450.0,14104000.0,,,2,68230450.0,34115225.0,14104000.0,1
Bradley Beal,53666270.0,,,,1,53666270.0,53666270.0,,0
Jaylen Brown,236187840.0,61015192.0,64951656.0,,3,362154688.0,120718229.33333333,61015192.0,2
Devin Booker,235302136.0,61015192.0,64065952.0,69191228.0,4,429574508.0,107393627.0,61015192.0,3
Karl-Anthony Towns,110220992.0,61015192.0,,,2,171236184.0,85618092.0,61015192.0,1
LeBron James,52627153.0,,,,1,52627153.0,52627153.0,,0
Paul George,105792470.0,56586670.0,,,2,162379140.0,81189570.0,56586670.0,1
Kawhi Leonard,100300000.0,,,,1,100300000.0,100300000.0,,0
Zach LaVine,47499660.0,,,,1,47499660.0,47499660.0,,0
Cade Cunningham,269085780.0,53817156.0,57528684.0,61240212.0,4,441671832.0,110417958.0,53817156.0,3
Evan Mobley,269085780.0,53817156.0,57528684.0,61240212.0,4,441671832.0,110417958.0,53817156.0,3
Jamal Murray,207845568.0,53817156.0,57528684.0,,3,319191408.0,106397136.0,53817156.0,2
Lauri Markkanen,195868144.0,49824681.0,53536209.0,,3,299229034.0,99743011.33333333,49824681.0,2
Donovan Mitchell,96499728.0,53817156.0,,,2,150316884.0,75158442.0,53817156.0,1
Luka Dončić,149583660.0,53784000.0,57768000.0,,3,261135660.0,87045220.0,53784000.0,2
Trae Young,45999660.0,,,,1,45999660.0,45999660.0,,0
