,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Archetype,Defensive Role,LEBRON WAR,LEBRON,O-LEBRON,D-LEBRON
,,,,,,,,,,,,
1,2024-25,Richaun Holmes,31,WAS,534,Rotation,Athletic Finisher,Anchor Big,01.02,0.58,-0.35,0.92
2,2024-25,John Collins,27,UTA,1220,Starter,Athletic Finisher,Helper,1.71,-0.23,-0.17,-0.06
3,2024-25,Jarrett Allen,26,CLE,2296,Star,Athletic Finisher,Mobile Big,08.06,3.14,1.36,1.78
4,2024-25,Luke Kornet,29,BOS,1361,Rotation,Athletic Finisher,Anchor Big,3.73,1.90,0.31,1.60
5,2024-25,Daniel Theis,32,NOP,621,Rotation,Athletic Finisher,Anchor Big,0.55,-1.04,-2.05,01.01
6,2024-25,Mitchell Robinson,26,NYK,290,Rotation,Athletic Finisher,Mobile Big,0.52,0.38,-0.66,01.04
7,2024-25,Jarred Vanderbilt,25,LAL,581,Rotation,Athletic Finisher,Helper,0.85,-0.13,-1.26,1.13
8,2024-25,Robert Williams III,27,POR,351,Rotation,Athletic Finisher,Anchor Big,0.89,1.56,-1.46,03.03
9,2024-25,Jock Landale,29,HOU,500,Rotation,Athletic Finisher,Mobile Big,0.41,-1.12,-1.13,0.01
10,2024-25,Brandon Clarke,28,MEM,1207,Rotation,Athletic Finisher,Mobile Big,02.09,0.30,-0.38,0.67
11,2024-25,Jaxson Hayes,24,LAL,1093,Rotation,Athletic Finisher,Anchor Big,1.73,0.06,-1.52,1.58
12,2024-25,Charles Bassey,24,SAS,376,Rotation,Athletic Finisher,Mobile Big,0.75,0.71,-1.31,02.02
13,2024-25,Moses Brown,25,IND/DAL,119,Garbage Time,Athletic Finisher,Anchor Big,0.17,-0.18,-0.17,-0.01
14,2024-25,Neemias Queta,25,BOS,863,Garbage Time,Athletic Finisher,Helper,1.33,0.00,-1.30,1.30
15,2024-25,Nick Richards,27,CHO/PHO,1256,Key Rotation,Athletic Finisher,Anchor Big,1.58,-0.45,-1.26,0.81
16,2024-25,KJ Martin,24,PHI/UTA,912,Rotation,Athletic Finisher,Helper,0.27,-1.97,-2.29,0.32
17,2024-25,Kai Jones,24,LAC/DAL,468,Garbage Time,Athletic Finisher,Mobile Big,0.73,0.02,-0.65,0.66
18,2024-25,Terrence Shannon Jr.,24,MIN,339,Rotation,Athletic Finisher,Helper,0.18,-1.60,-1.16,-0.44
19,2024-25,Jericho Sims,26,NYK/MIL,631,Garbage Time,Athletic Finisher,Mobile Big,0.21,-1.91,-2.68,0.77
