Player,PLAYER_ID,Age,Team(s),Position,Minutes,MPG,Rotation Role,Offensive Archetype,Defensive Role,LEBRON WAR,LEBRON,O-LEBRON,D-LEBRON,Season
Lebron James,2544,,LAL,SF,2315,33.077,,Shot Creator,Helper,3.757,1.853,2.127,-0.274,2025-26
Chris Paul,101108,,LAC,PG,995,14.221,,Primary Ball Handler,Chaser,0.364,0.091,-0.384,0.475,2025-26
Kevin Durant,201142,,HOU,SF,2559,36.571,,Shot Creator,Helper,5.447,1.782,1.741,0.041,2025-26
Al Horford,201143,,GSW,C,1483,21.191,,Versatile Big,Mobile Big,2.001,1.501,-0.073,1.574,2025-26
Mike Conley,201144,,MIN,PG,1264,18.066,,Primary Ball Handler,Point of Attack,0.917,-0.696,-1.019,0.323,2025-26
Russell Westbrook,201566,,SAC,SF,2013,28.76,,Shot Creator,Chaser,1.364,-1.128,0.011,-1.139,2025-26
Kevin Love,201567,,UTA,PF,1186,16.955,,Movement Shooter,Mobile Big,1.094,0.657,0.614,0.042,2025-26
Brook Lopez,201572,,LAC,C,1372,19.6,,Versatile Big,Mobile Big,1.805,0.364,-1.138,1.503,2025-26
Nicolas Batum,201587,,LAC,PF,1354,19.354,,Stationary Shooter,Helper,0.787,-1.297,-1.828,0.531,2025-26
James Harden,201935,,LAC/CLE,PG,2451,35.015,,Shot Creator,Wing Stopper,5.941,2.757,3.539,-0.782,2025-26
Stephen Curry,201939,,GSW,PG,2192,31.325,,Primary Ball Handler,Low Activity,4.306,3.187,4.365,-1.178,2025-26
Demar Derozan,201942,,SAC,PF,2220,31.727,,Shot Creator,Helper,2.178,-0.69,0.605,-1.295,2025-26
Jrue Holiday,201950,,POR,PG,2002,28.606,,Shot Creator,Chaser,2.309,1.44,1.323,0.116,2025-26
Paul George,202331,,PHI,PF,2135,30.514,,Shot Creator,Helper,2.079,1.563,1.181,0.383,2025-26
Jonas Valanciunas,202685,,DEN,C,989,14.142,,Post Scorer,Anchor Big,1.042,-0.061,-0.183,0.122,2025-26
Klay Thompson,202691,,DAL,SF,1534,21.918,,Off Screen Shooter,Helper,0.621,-1.619,-0.168,-1.451,2025-26
Kawhi Leonard,202695,,LAC,SF,2286,32.667,,Shot Creator,Wing Stopper,6.75,4.986,4.5,0.486,2025-26
Nikola Vucevic,202696,,CHI/BOS,C,2081,29.738,,Versatile Big,Mobile Big,3.166,0.518,0.644,-0.126,2025-26
Tobias Harris,202699,,DET,PF,1983,28.333,,Versatile Big,Wing Stopper,2.906,1.341,0.639,0.702,2025-26
Jimmy Butler Iii,202710,,GSW,SF,2176,31.097,,Shot Creator,Wing Stopper,3.95,2.888,2.94,-0.051,2025-26
Anthony Davis,203076,,DAL,PF,2189,31.282,,Shot Creator,Mobile Big,1.725,1.938,0.95,0.988,2025-26
Andre Drummond,203083,,PHI,C,1399,19.998,,Roll + Cut Big,Mobile Big,1.617,0.404,-0.21,0.615,2025-26
Harrison Barnes,203084,,SAS,PF,1879,26.855,,Movement Shooter,Wing Stopper,2.125,-0.354,-0.198,-0.156,2025-26
Draymond Green,203110,,GSW,PF,1861,26.589,,Stationary Shooter,Helper,1.519,-0.596,-1.496,0.899,2025-26
Khris Middleton,203114,,WAS/DAL,SF,1699,24.274,,Shot Creator,Helper,0.878,-1.081,-0.63,-0.451,2025-26
Cj Mccollum,203468,,WAS/ATL,PG,2089,29.852,,Primary Ball Handler,Chaser,1.846,-0.725,1.088,-1.813,2025-26
Dennis Schroder,203471,,SAC/CLE,PG,1806,25.809,,Shot Creator,Point of Attack,2.198,0.204,0.867,-0.663,2025-26
Kentavious Caldwell-Pope,203484,,MEM,SG,1492,21.325,,Secondary Ball Handler,Chaser,1.115,-0.82,-0.741,-0.078,2025-26
Rudy Gobert,203497,,MIN,C,2207,31.539,,Roll + Cut Big,Anchor Big,5.24,2.111,-0.521,2.632,2025-26
Steven Adams,203500,,HOU,C,1597,22.824,,Roll + Cut Big,Anchor Big,0.847,-0.607,-0.827,0.219,2025-26
Tim Hardaway Jr.,203501,,DEN,SG,1911,27.314,,Off Screen Shooter,Chaser,2.102,-0.411,0.905,-1.317,2025-26
Giannis Antetokounmpo,203507,,MIL,PF,2044,29.207,,Shot Creator,Helper,3.526,4.017,4.481,-0.464,2025-26
Zach Lavine,203897,,SAC,SG,2197,31.391,,Shot Creator,Chaser,0.838,-1.364,0.268,-1.632,2025-26
Jordan Clarkson,203903,,NYK,SG,1281,18.314,,Movement Shooter,Chaser,0.248,-2.052,-0.62,-1.433,2025-26
Gary Harris,203914,,MIL,SG,972,13.893,,Stationary Shooter,Chaser,-0.127,-2.828,-3.573,0.745,2025-26
Jerami Grant,203924,,POR,PF,2050,29.299,,Shot Creator,Wing Stopper,2.011,-0.079,0.604,-0.683,2025-26
Aaron Gordon,203932,,DEN,PF,1953,27.913,,Shot Creator,Wing Stopper,1.205,0.533,1.383,-0.849,2025-26
Marcus Smart,203935,,LAL,SG,1973,28.197,,Primary Ball Handler,Point of Attack,2.051,-0.138,-0.988,0.85,2025-26
Kyle Anderson,203937,,UTA/MEM,SF,1430,20.439,,Shot Creator,Mobile Big,0.78,0.076,-1.101,1.177,2025-26
Dwight Powell,203939,,DAL,C,959,13.706,,Athletic Finisher,Mobile Big,0.818,-0.294,-2.05,1.757,2025-26
Julius Randle,203944,,MIN,PF,2336,33.385,,Shot Creator,Helper,4.196,0.824,1.87,-1.045,2025-26
Andrew Wiggins,203952,,MIA,SF,2182,31.183,,Shot Creator,Wing Stopper,3.189,0.504,-0.47,0.974,2025-26
Joel Embiid,203954,,PHI,C,2182,31.182,,Shot Creator,Anchor Big,2.879,2.004,2.871,-0.867,2025-26
Clint Capela,203991,,HOU,C,830,11.865,,Roll + Cut Big,Mobile Big,1.194,0.568,-0.949,1.517,2025-26
Bogdan Bogdanovic,203992,,LAC,SG,1513,21.624,,Secondary Ball Handler,Chaser,0.347,-1.033,-0.571,-0.463,2025-26
Jusuf Nurkic,203994,,UTA,C,1849,26.416,,Roll + Cut Big,Mobile Big,2.101,0.632,-1.034,1.666,2025-26
Nikola Jokic,203999,,DEN,C,2416,34.526,,Shot Creator,Anchor Big,8.791,6.908,6.357,0.551,2025-26
Kristaps Porzingis,204001,,ATL/GSW,C,1673,23.908,,Versatile Big,Mobile Big,1.429,2.853,2.257,0.595,2025-26
T.J. Mcconnell,204456,,IND,PG,1178,16.837,,Slasher,Low Activity,1.555,0.886,0.36,0.527,2025-26
Tyus Jones,1626145,,ORL/DAL,PG,1108,15.838,,Primary Ball Handler,Point of Attack,1.088,-0.5,-0.398,-0.103,2025-26
D'Angelo Russell,1626156,,DAL,PG,1332,19.03,,Primary Ball Handler,Chaser,0.622,-0.45,0.672,-1.122,2025-26
Karl-Anthony Towns,1626157,,NYK,C,2186,31.236,,Shot Creator,Mobile Big,5.68,2.639,1.671,0.968,2025-26
Kelly Oubre Jr.,1626162,,PHI,SF,2288,32.686,,Shot Creator,Wing Stopper,0.525,-1.783,-1.237,-0.546,2025-26
Devin Booker,1626164,,PHO,SG,2333,33.342,,Shot Creator,Helper,3.865,1.741,2.027,-0.286,2025-26
Myles Turner,1626167,,MIL,C,1961,28.021,,Stretch Big,Mobile Big,2.605,0.236,-0.75,0.986,2025-26
Bobby Portis,1626171,,MIL,PF,1682,24.042,,Versatile Big,Helper,0.724,-1.613,-0.388,-1.225,2025-26
Kevon Looney,1626172,,NOP,C,974,13.919,,Athletic Finisher,Mobile Big,0.379,-0.044,-0.632,0.588,2025-26
Norman Powell,1626181,,MIA,SG,2100,30.005,,Shot Creator,Chaser,3.413,1.24,1.107,0.133,2025-26
Larry Nance Jr.,1626204,,CLE,PF,886,12.667,,Stretch Big,Mobile Big,0.279,-1.156,-1.686,0.529,2025-26
Royce O'Neale,1626220,,PHO,SF,2054,29.345,,Movement Shooter,Wing Stopper,1.299,-1.279,-1.92,0.641,2025-26
Domantas Sabonis,1627734,,SAC,C,2076,29.663,,Roll + Cut Big,Mobile Big,1.434,1.597,0.983,0.614,2025-26
Kris Dunn,1627739,,LAC,PG,1940,27.717,,Primary Ball Handler,Point of Attack,2.521,0.0,-1.212,1.211,2025-26
Buddy Hield,1627741,,GSW/ATL,SG,1201,17.17,,Movement Shooter,Point of Attack,0.849,-0.704,-0.359,-0.345,2025-26
Brandon Ingram,1627742,,TOR,SF,2381,34.02,,Shot Creator,Low Activity,2.896,-0.118,0.247,-0.365,2025-26
Caris Levert,1627747,,DET,SG,1365,19.506,,Secondary Ball Handler,Chaser,0.83,-0.839,-1.287,0.448,2025-26
Jamal Murray,1627750,,DEN,PG,2459,35.14,,Shot Creator,Chaser,4.606,1.271,2.985,-1.715,2025-26
Jakob Poeltl,1627751,,TOR,C,1743,24.904,,Roll + Cut Big,Mobile Big,0.613,-0.945,-1.654,0.71,2025-26
Jaylen Brown,1627759,,BOS,SF,2398,34.265,,Shot Creator,Helper,5.208,2.03,2.144,-0.113,2025-26
Gary Payton Ii,1627780,,GSW,SG,950,13.581,,Stretch Big,Chaser,1.588,0.928,0.658,0.27,2025-26
Pascal Siakam,1627783,,IND,PF,2358,33.698,,Shot Creator,Wing Stopper,3.563,0.781,1.788,-1.007,2025-26
Guerschon Yabusele,1627824,,NYK/CHI,C,843,12.054,,Stationary Shooter,Mobile Big,0.62,-0.846,-0.927,0.081,2025-26
Ivica Zubac,1627826,,LAC,C,2162,30.894,,Post Scorer,Anchor Big,2.733,0.819,0.111,0.709,2025-26
Dorian Finney-Smith,1627827,,HOU,PF,1141,16.306,,Stationary Shooter,Wing Stopper,-0.221,-3.354,-3.045,-0.309,2025-26
Derrick Jones Jr.,1627884,,LAC,SF,1840,26.295,,Stationary Shooter,Point of Attack,1.017,-0.173,-0.883,0.709,2025-26
Alex Caruso,1627936,,OKC,SG,1297,18.533,,Stationary Shooter,Wing Stopper,2.194,2.147,0.298,1.85,2025-26
Lonzo Ball,1628366,,CLE,PG,1455,20.793,,Movement Shooter,Chaser,1.361,0.521,-0.614,1.135,2025-26
De'Aaron Fox,1628368,,SAS,PG,2210,31.584,,Shot Creator,Point of Attack,4.032,1.53,1.107,0.423,2025-26
Malik Monk,1628370,,SAC,SG,1535,21.938,,Secondary Ball Handler,Low Activity,0.88,-1.15,0.181,-1.331,2025-26
Jonathan Isaac,1628371,,ORL,PF,721,10.303,,Stretch Big,Helper,1.007,0.656,-1.328,1.983,2025-26
Lauri Markkanen,1628374,,UTA,PF,2404,34.348,,Off Screen Shooter,Wing Stopper,3.182,1.056,2.053,-0.998,2025-26
Donovan Mitchell,1628378,,CLE,SG,2341,33.456,,Shot Creator,Helper,7.165,3.799,4.199,-0.4,2025-26
Luke Kennard,1628379,,ATL/LAL,SG,1459,20.845,,Off Screen Shooter,Low Activity,0.794,-1.371,-1.037,-0.333,2025-26
John Collins,1628381,,LAC,PF,1941,27.742,,Stationary Shooter,Helper,2.811,0.532,-0.249,0.781,2025-26
Og Anunoby,1628384,,NYK,PF,2317,33.104,,Stationary Shooter,Wing Stopper,3.77,1.402,-0.031,1.433,2025-26
Jarrett Allen,1628386,,CLE,C,1937,27.678,,Roll + Cut Big,Mobile Big,4.238,2.431,1.188,1.242,2025-26
Bam Adebayo,1628389,,MIA,C,2196,31.375,,Shot Creator,Mobile Big,5.196,2.532,0.873,1.66,2025-26
Isaiah Hartenstein,1628392,,OKC,C,1794,25.639,,Roll + Cut Big,Mobile Big,3.001,2.889,0.962,1.928,2025-26
Tony Bradley,1628396,,IND,C,766,10.954,,Roll + Cut Big,Mobile Big,0.27,-1.419,-1.129,-0.29,2025-26
Kyle Kuzma,1628398,,MIL,PF,1857,26.535,,Movement Shooter,Wing Stopper,0.616,-1.796,-0.962,-0.834,2025-26
Derrick White,1628401,,BOS,SG,2405,34.371,,Primary Ball Handler,Chaser,8.942,4.803,2.544,2.259,2025-26
Josh Hart,1628404,,NYK,SF,2117,30.249,,Stationary Shooter,Wing Stopper,3.781,1.607,0.377,1.23,2025-26
Dillon Brooks,1628415,,PHO,SF,2142,30.605,,Shot Creator,Wing Stopper,1.621,-0.766,-0.044,-0.721,2025-26
Thomas Bryant,1628418,,CLE,C,745,10.647,,Stretch Big,Mobile Big,1.07,1.18,0.565,0.614,2025-26
Luke Kornet,1628436,,SAS,C,1532,21.897,,Roll + Cut Big,Anchor Big,2.562,1.269,-0.211,1.48,2025-26
Maxi Kleber,1628467,,LAL,PF,769,10.986,,Athletic Finisher,Mobile Big,0.19,-1.643,-2.391,0.748,2025-26
Grayson Allen,1628960,,PHO,SG,2114,30.206,,Primary Ball Handler,Chaser,2.486,0.992,1.832,-0.84,2025-26
Marvin Bagley Iii,1628963,,WAS/DAL,PF,1396,19.953,,Roll + Cut Big,Mobile Big,1.416,0.056,0.586,-0.531,2025-26
Mikal Bridges,1628969,,NYK,SF,2378,33.982,,Movement Shooter,Point of Attack,5.676,1.907,1.052,0.855,2025-26
Miles Bridges,1628970,,CHO,PF,2231,31.885,,Shot Creator,Wing Stopper,3.877,1.001,1.016,-0.015,2025-26
Bruce Brown,1628971,,DEN,SG,1755,25.082,,Stationary Shooter,Point of Attack,0.753,-1.672,-1.791,0.119,2025-26
Jalen Brunson,1628973,,NYK,PG,2420,34.584,,Shot Creator,Low Activity,5.243,1.858,3.579,-1.721,2025-26
Jevon Carter,1628975,,CHI/ORL,PG,938,13.402,,Movement Shooter,Chaser,0.624,0.018,-0.164,0.182,2025-26
Wendell Carter Jr.,1628976,,ORL,C,2080,29.72,,Stretch Big,Mobile Big,2.477,-0.127,-1.016,0.89,2025-26
Donte Divincenzo,1628978,,MIN,SG,2183,31.186,,Movement Shooter,Chaser,4.154,1.021,0.443,0.578,2025-26
Shai Gilgeous-Alexander,1628983,,OKC,PG,2329,33.275,,Shot Creator,Helper,8.955,6.203,5.665,0.539,2025-26
Aaron Holiday,1628988,,HOU,PG,919,13.142,,Secondary Ball Handler,Point of Attack,0.192,-1.846,-1.261,-0.585,2025-26
Kevin Huerter,1628989,,CHI/DET,SF,1560,22.294,,Movement Shooter,Chaser,1.605,-0.115,-0.06,-0.055,2025-26
Jaren Jackson Jr.,1628991,,MEM/UTA,C,2121,30.305,,Shot Creator,Helper,2.366,0.135,-0.949,1.084,2025-26
Caleb Martin,1628997,,DAL,SF,1029,14.709,,Stationary Shooter,Point of Attack,0.777,-0.804,-2.201,1.397,2025-26
De'Anthony Melton,1629001,,GSW,PG,1556,22.232,,Primary Ball Handler,Point of Attack,1.667,1.275,0.565,0.71,2025-26
Svi Mykhailiuk,1629004,,UTA,SF,1633,23.341,,Movement Shooter,Wing Stopper,0.118,-2.291,-0.829,-1.462,2025-26
Josh Okogie,1629006,,HOU,SG,1357,19.398,,Stationary Shooter,Wing Stopper,1.34,-0.489,-1.438,0.949,2025-26
Michael Porter Jr.,1629008,,BRK,SF,2281,32.598,,Off Screen Shooter,Helper,2.662,0.253,1.733,-1.48,2025-26
Mitchell Robinson,1629011,,NYK,C,1355,19.369,,Athletic Finisher,Mobile Big,2.357,1.952,0.177,1.774,2025-26
Collin Sexton,1629012,,CHO/CHI,SG,1579,22.566,,Primary Ball Handler,Point of Attack,1.58,-0.267,0.419,-0.686,2025-26
Landry Shamet,1629013,,NYK,SG,1562,22.32,,Movement Shooter,Chaser,1.625,0.763,1.001,-0.238,2025-26
Anfernee Simons,1629014,,BOS/CHI,SG,1746,24.944,,Shot Creator,Low Activity,2.8,0.793,1.218,-0.425,2025-26
Gary Trent Jr.,1629018,,MIL,SG,1546,22.091,,Movement Shooter,Chaser,-0.708,-3.495,-1.643,-1.851,2025-26
Jarred Vanderbilt,1629020,,LAL,PF,1285,18.359,,Stationary Shooter,Wing Stopper,1.194,-0.382,-1.642,1.26,2025-26
Moritz Wagner,1629021,,ORL,C,866,12.385,,Versatile Big,Mobile Big,0.519,1.056,1.288,-0.232,2025-26
P.J. Washington,1629023,,DAL,PF,2166,30.948,,Shot Creator,Wing Stopper,1.626,-0.462,-0.91,0.448,2025-26
Kenrich Williams,1629026,,OKC,PF,1120,16.014,,Stationary Shooter,Helper,0.847,-0.399,-0.598,0.199,2025-26
Trae Young,1629027,,ATL,PG,1960,28.01,,Primary Ball Handler,Chaser,0.752,1.819,2.602,-0.783,2025-26
Deandre Ayton,1629028,,LAL,C,1943,27.767,,Roll + Cut Big,Mobile Big,1.323,-0.994,-1.499,0.506,2025-26
Luka Doncic,1629029,,LAL,PG,2476,35.377,,Shot Creator,Helper,7.77,4.959,5.572,-0.613,2025-26
Goga Bitadze,1629048,,ORL,C,1107,15.828,,Roll + Cut Big,Mobile Big,1.997,2.224,-0.18,2.405,2025-26
Robert Williams Iii,1629057,,POR,C,1144,16.348,,Athletic Finisher,Anchor Big,2.256,2.794,-0.354,3.148,2025-26
Rui Hachimura,1629060,,LAL,PF,2055,29.37,,Shot Creator,Wing Stopper,0.166,-2.275,-1.258,-1.016,2025-26
Jock Landale,1629111,,MEM/ATL,C,1603,22.901,,Versatile Big,Mobile Big,2.111,0.213,0.677,-0.464,2025-26
Duncan Robinson,1629130,,DET,SF,1962,28.03,,Off Screen Shooter,Low Activity,3.192,0.724,0.774,-0.05,2025-26
Gabe Vincent,1629216,,LAL/ATL,PG,1312,18.749,,Movement Shooter,Point of Attack,0.02,-2.413,-1.286,-1.128,2025-26
Drew Eubanks,1629234,,SAC,C,925,13.218,,Roll + Cut Big,Mobile Big,0.487,-0.868,-2.047,1.179,2025-26
Amir Coffey,1629599,,MIL/PHO,SG,725,10.37,,Stationary Shooter,Helper,0.204,-1.583,-1.833,0.249,2025-26
Terance Mann,1629611,,BRK,SG,1719,24.559,,Primary Ball Handler,Point of Attack,0.242,-2.158,-1.835,-0.323,2025-26
Andrew Nembhard,1629614,,IND,PG,2217,31.673,,Primary Ball Handler,Point of Attack,2.351,0.06,1.154,-1.095,2025-26
Jalen Pickett,1629618,,DEN,SG,1215,17.371,,Secondary Ball Handler,Chaser,0.211,-1.975,-1.224,-0.751,2025-26
Zion Williamson,1629627,,NOP,PF,2065,29.508,,Shot Creator,Helper,2.597,0.657,1.876,-1.218,2025-26
