player_name,bbref_id,year_4,year_0,year_1,year_2,contract_length,total_contract_value,average_annual_value,current_year_salary,years_remaining
Cade Cunningham,cunnica01,269085780.0,46394100.0,50105628.0,53817156.0,4,419402664.0,104850666.0,46394100.0,3
Evan Mobley,mobleev01,269085780.0,46394100.0,50105628.0,53817156.0,4,419402664.0,104850666.0,46394100.0,3
Jayson Tatum,tatumja01,242486496.0,54126450.0,58456566.0,62786682.0,4,417856194.0,104464048.5,54126450.0,3
Shai Gilgeous-Alexander,gilgesh01,276795400.0,38333050.0,40806150.0,61005000.0,4,416939600.0,104234900.0,38333050.0,3
Jaylen Brown,brownja02,236187840.0,53142264.0,57078728.0,61015192.0,4,407424024.0,101856006.0,53142264.0,3
Devin Booker,bookede01,235302136.0,53142264.0,57078728.0,61015192.0,4,406538320.0,101634580.0,53142264.0,3
De'Aaron Fox,foxde01,260200620.0,37096620.0,49800000.0,53784000.0,4,400881240.0,100220310.0,37096620.0,3
Jamal Murray,murraja01,207845568.0,46394100.0,50105628.0,53817156.0,4,358162452.0,89540613.0,46394100.0,3
Chet Holmgren,holmgch01,254431368.0,13731368.0,41500000.0,44820000.0,4,354482736.0,88620684.0,13731368.0,3
Joel Embiid,embiijo01,176072526.0,55224526.0,58100000.0,62748000.0,4,352145052.0,88036263.0,55224526.0,3
Scottie Barnes,barnesc01,224238150.0,38661750.0,41754690.0,44847630.0,4,349502220.0,87375555.0,38661750.0,3
Franz Wagner,wagnefr01,224238150.0,38661750.0,41754690.0,44847630.0,4,349502220.0,87375555.0,38661750.0,3
Anthony Edwards,edwaran01,202446720.0,45550512.0,48924624.0,52298736.0,4,349220592.0,87305148.0,45550512.0,3
Tyrese Haliburton,halibty01,202446720.0,45550512.0,48924624.0,52298736.0,4,349220592.0,87305148.0,45550512.0,3
Jalen Williams,willija06,247280997.0,6580997.0,41500000.0,44820000.0,4,340181994.0,85045498.5,6580997.0,3
Lauri Markkanen,markkla01,195868144.0,46394100.0,46113154.0,49824681.0,4,338200079.0,84550019.75,46394100.0,3
Jaren Jackson Jr.,jacksja02,186500000.0,35000000.0,49000000.0,50500000.0,4,321000000.0,80250000.0,35000000.0,3
Paolo Banchero,banchpa01,201254769.0,15334769.0,41500000.0,44820000.0,4,302909538.0,75727384.5,15334769.0,3
Luka Dončić,doncilu01,149583660.0,45999660.0,49800000.0,53784000.0,4,299167320.0,74791830.0,45999660.0,3
Pascal Siakam,siakapa01,146773872.0,45550512.0,48924624.0,52298736.0,4,293547744.0,73386936.0,45550512.0,3
Nikola Jokić,jokicni01,114257640.0,55224526.0,59033114.0,62841702.0,4,291356982.0,72839245.5,55224526.0,3
