nba_id	Player	Seasons	Team	Pos	MPG	LEBRON	O-LEBRON	D-LEBRON	WAR	OffRole	DefRole
2544	Lebron James	2026	LAL	SF	33.077	1.853	2.127	-0.274	3.757	Shot Creator	Helper
101108	Chris Paul	2026	LAC	PG	14.221	0.091	-0.384	0.475	0.364	Primary Ball Handler	Chaser
201142	Kevin Durant	2026	HOU	SF	36.571	1.782	1.741	0.041	5.447	Shot Creator	Helper
201143	Al Horford	2026	GSW	C	21.191	1.501	-0.073	1.574	2.001	Versatile Big	Mobile Big
201144	Mike Conley	2026	MIN	PG	18.066	-0.696	-1.019	0.323	0.917	Primary Ball Handler	Point of Attack
201566	Russell Westbrook	2026	SAC	SF	28.76	-1.128	0.011	-1.139	1.364	Shot Creator	Chaser
201567	Kevin Love	2026	UTA	PF	16.955	0.657	0.614	0.042	1.094	Movement Shooter	Mobile Big
201572	Brook Lopez	2026	LAC	C	19.6	0.364	-1.138	1.503	1.805	Versatile Big	Mobile Big
201587	Nicolas Batum	2026	LAC	PF	19.354	-1.297	-1.828	0.531	0.787	Stationary Shooter	Helper
201935	James Harden	2026	LAC/CLE	PG	35.015	2.757	3.539	-0.782	5.941	Shot Creator	Wing Stopper
201939	Stephen Curry	2026	GSW	PG	31.325	3.187	4.365	-1.178	4.306	Primary Ball Handler	Low Activity
201942	Demar Derozan	2026	SAC	PF	31.727	-0.69	0.605	-1.295	2.178	Shot Creator	Helper
201950	Jrue Holiday	2026	POR	PG	28.606	1.44	1.323	0.116	2.309	Shot Creator	Chaser
202331	Paul George	2026	PHI	PF	30.514	1.563	1.181	0.383	2.079	Shot Creator	Helper
202685	Jonas Valanciunas	2026	DEN	C	14.142	-0.061	-0.183	0.122	1.042	Post Scorer	Anchor Big
202691	Klay Thompson	2026	DAL	SF	21.918	-1.619	-0.168	-1.451	0.621	Off Screen Shooter	Helper
202695	Kawhi Leonard	2026	LAC	SF	32.667	4.986	4.5	0.486	6.75	Shot Creator	Wing Stopper
202696	Nikola Vucevic	2026	CHI/BOS	C	29.738	0.518	0.644	-0.126	3.166	Versatile Big	Mobile Big
202699	Tobias Harris	2026	DET	PF	28.333	1.341	0.639	0.702	2.906	Versatile Big	Wing Stopper
202710	Jimmy Butler Iii	2026	GSW	SF	31.097	2.888	2.94	-0.051	3.95	Shot Creator	Wing Stopper
203076	Anthony Davis	2026	DAL	PF	31.282	1.938	0.95	0.988	1.725	Shot Creator	Mobile Big
203083	Andre Drummond	2026	PHI	C	19.998	0.404	-0.21	0.615	1.617	Roll + Cut Big	Mobile Big
203084	Harrison Barnes	2026	SAS	PF	26.855	-0.354	-0.198	-0.156	2.125	Movement Shooter	Wing Stopper
203110	Draymond Green	2026	GSW	PF	26.589	-0.596	-1.496	0.899	1.519	Stationary Shooter	Helper
203114	Khris Middleton	2026	WAS/DAL	SF	24.274	-1.081	-0.63	-0.451	0.878	Shot Creator	Helper
203468	Cj Mccollum	2026	WAS/ATL	PG	29.852	-0.725	1.088	-1.813	1.846	Primary Ball Handler	Chaser
203471	Dennis Schroder	2026	SAC/CLE	PG	25.809	0.204	0.867	-0.663	2.198	Shot Creator	Point of Attack
203484	Kentavious Caldwell-Pope	2026	MEM	SG	21.325	-0.82	-0.741	-0.078	1.115	Secondary Ball Handler	Chaser
203497	Rudy Gobert	2026	MIN	C	31.539	2.111	-0.521	2.632	5.24	Roll + Cut Big	Anchor Big
203500	Steven Adams	2026	HOU	C	22.824	-0.607	-0.827	0.219	0.847	Roll + Cut Big	Anchor Big
203501	Tim Hardaway Jr.	2026	DEN	SG	27.314	-0.411	0.905	-1.317	2.102	Off Screen Shooter	Chaser
203507	Giannis Antetokounmpo	2026	MIL	PF	29.207	4.017	4.481	-0.464	3.526	Shot Creator	Helper
203897	Zach Lavine	2026	SAC	SG	31.391	-1.364	0.268	-1.632	0.838	Shot Creator	Chaser
