GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SUM_TIME_PLAYED
Lineups,-1628384-1628973-,O. Anunoby - J. Brunson,1610612752,NYK,58,35,23,0.603,31.0,28.0,56.2,0.498,7.8,20.9,0.376,11.1,13.8,0.804,6.8,20.1,26.9,17.6,8.4,4.8,2.2,2.9,10.2,12.9,75.0,3.4,302,265,4691,1591,1,5,3,993,48,43,1640,14,19,1685,27,7,5,8,5312,64,246,5275,5289,2,5,415,5392715
Lineups,-202696-203897-,N. Vučević - Z. LaVine,1610612741,CHI,41,17,24,0.415,30.9,29.0,59.2,0.49,10.4,26.1,0.4,8.9,11.0,0.809,5.9,23.7,29.6,19.7,9.5,4.9,2.4,2.9,10.3,9.7,77.3,0.1,767,977,4755,3116,2,2,1,1218,2,4,899,119,124,1538,96,1,1,4,5323,55,166,5271,5298,96,2,2133,3805435
Lineups,-1628969-1628973-,M. Bridges - J. Brunson,1610612752,NYK,65,40,25,0.615,30.7,27.6,56.2,0.491,7.3,20.4,0.358,11.2,14.0,0.804,6.7,19.6,26.4,17.4,8.4,4.8,2.3,3.2,10.3,12.8,73.6,1.3,151,137,4814,1506,3,9,4,1192,77,51,2343,10,15,1704,29,16,12,11,5313,56,227,5306,5296,4,7,1246,5992720
Lineups,-1628404-1628969-,J. Hart - M. Bridges,1610612752,NYK,77,48,29,0.623,30.6,27.6,55.8,0.495,7.4,20.3,0.365,10.8,13.4,0.804,6.7,19.9,26.6,17.9,8.4,5.0,2.2,3.4,10.4,12.3,73.5,2.2,13,39,5033,1474,4,7,6,1056,70,54,2089,22,26,1702,30,9,8,6,5309,39,241,5315,5306,7,8,812,7063390
Lineups,-1628404-1628973-,J. Hart - J. Brunson,1610612752,NYK,61,38,23,0.623,30.5,27.6,55.2,0.5,7.1,19.6,0.361,11.2,13.9,0.805,6.6,19.4,26.0,17.1,8.4,4.8,2.1,3.3,10.5,12.8,73.4,1.1,238,180,4691,1476,6,8,8,968,97,73,2249,12,18,1668,38,20,14,16,5311,62,319,5311,5307,3,9,1349,5576675
Lineups,-1626162-1630178-,K. Oubre Jr. - T. Maxey,1610612755,PHI,48,19,29,0.396,30.5,25.8,55.4,0.465,8.6,23.4,0.366,11.5,14.5,0.791,6.2,18.0,24.2,14.7,8.0,6.5,2.5,3.2,11.9,12.3,71.6,-1.8,545,871,5033,3262,5,17,7,2295,21,13,2047,6,7,2125,64,59,50,63,5298,1,134,5308,5324,6,11,3883,4392905
Lineups,-203999-1631128-,N. Jokić - C. Braun,1610612743,DEN,69,45,24,0.652,30.3,30.6,56.9,0.537,8.0,19.4,0.412,12.3,15.6,0.787,7.1,21.6,28.7,21.9,8.0,5.1,2.7,3.1,10.0,12.2,81.4,7.9,85,56,4755,1278,7,1,2,377,45,80,731,4,4,2234,8,3,2,1,5287,34,107,5301,5280,8,1,46,6275575
Lineups,-1626157-1628404-,K. Towns - J. Hart,1610612752,NYK,68,44,24,0.647,29.7,27.8,55.0,0.505,7.4,19.9,0.374,10.7,13.4,0.804,6.3,19.9,26.1,18.1,7.6,4.8,2.2,3.4,10.3,12.2,73.7,4.9,103,70,4755,1298,8,6,9,711,68,67,1743,23,28,1697,56,8,13,5,5272,63,268,5316,5295,9,6,204,6058030
Lineups,-1628368-1631099-,D. Fox - K. Murray,1610612758,SAC,42,19,23,0.452,29.6,26.4,56.0,0.472,6.9,21.1,0.328,11.0,13.9,0.795,6.6,20.8,27.3,16.2,7.7,4.4,2.8,2.9,11.5,11.6,70.8,0.2,740,871,4691,2850,9,13,5,1978,120,35,3463,16,17,2024,40,4,4,27,5276,106,89,5274,5321,16,14,2058,3732435
Lineups,-1628384-1628969-,O. Anunoby - M. Bridges,1610612752,NYK,74,45,29,0.608,29.6,26.8,54.3,0.493,7.5,20.1,0.371,10.1,12.7,0.799,6.5,19.4,25.9,17.4,7.9,4.9,2.4,3.0,9.8,11.8,71.1,3.0,29,56,5033,1567,10,11,11,1131,65,59,1874,42,42,1906,41,23,16,9,5283,51,180,5297,5262,14,12,566,6561670
