Abbrev,Total_Payroll,Total_WAR,LEBRON,player_name,WINS,LOSSES,Cost_Per_Win,Efficiency_Index,Payroll_Display,CPW_Display
OKC,179792884.0,50.94,1.0642857142857143,14,68.0,14.0,2644013.0,3.9792543174298287,$179.8M,$2.64M
HOU,154932711.0,27.009999999999998,-0.32428571428571434,14,52.0,30.0,2979475.2115384615,2.284167910695909,$154.9M,$2.98M
CLE,231075499.0,47.589999999999996,0.7823076923076923,13,64.0,18.0,3610554.671875,1.9339602621364342,$231.1M,$3.61M
DET,134175510.0,26.97,0.28363636363636363,11,44.0,38.0,3049443.409090909,1.6714621519570647,$134.2M,$3.05M
LAC,178632256.0,39.85,0.4730769230769231,13,50.0,32.0,3572645.12,1.3162815739913982,$178.6M,$3.57M
BOS,241993930.0,52.05,1.0121428571428572,14,61.0,21.0,3967113.606557377,1.176759664198113,$242.0M,$3.97M
LAL,187185589.0,32.26,0.20916666666666664,12,50.0,32.0,3743711.78,1.0750644195048908,$187.2M,$3.74M
DEN,192793136.0,33.42,-0.06454545454545456,11,50.0,32.0,3855862.72,0.9169229638887759,$192.8M,$3.86M
NYK,203985595.0,36.09,-0.1053846153846154,13,51.0,31.0,3999717.5490196077,0.7510397411196561,$204.0M,$4.00M
IND,201861341.0,34.769999999999996,0.0607142857142857,14,50.0,32.0,4037226.82,0.6611856265957794,$201.9M,$4.04M
GSW,191996148.0,34.82,0.21800000000000003,15,48.0,34.0,3999919.75,0.639876558827851,$192.0M,$4.00M
BKN,82743701.0,10.56,-1.115,12,26.0,56.0,3182450.0384615385,0.42621408187066745,$82.7M,$3.18M
MIL,205541232.0,31.439999999999998,0.04583333333333336,12,48.0,34.0,4282109.0,0.2578843436573768,$205.5M,$4.28M
SAC,165708635.0,31.78,0.08090909090909086,11,40.0,42.0,4142715.875,0.1831341098376842,$165.7M,$4.14M
ATL,166950331.0,28.88,0.3581818181818182,11,40.0,42.0,4173758.275,0.14811637162296976,$167.0M,$4.17M
MEM,209503797.0,36.79,0.3293333333333333,15,48.0,34.0,4364662.4375,0.14613391212760618,$209.5M,$4.36M
MIN,216085757.0,40.75,-0.0026666666666667134,15,49.0,33.0,4409913.408163265,0.11027385688194014,$216.1M,$4.41M
ORL,177331779.0,26.46,0.11181818181818182,11,41.0,41.0,4325165.341463415,0.005104907228889971,$177.3M,$4.33M
SAS,141652773.0,23.43,-0.5121428571428572,14,34.0,48.0,4166258.029411765,-0.03702163868941155,$141.7M,$4.17M
CHI,171981325.0,26.58,-0.13384615384615384,13,39.0,43.0,4409777.564102564,-0.14352674868441526,$172.0M,$4.41M
DAL,175038487.0,25.9,-0.1430769230769231,13,39.0,43.0,4488166.333333333,-0.2297434221664695,$175.0M,$4.49M
POR,165381840.0,21.3,-0.5291666666666667,12,36.0,46.0,4593940.0,-0.40669515472121015,$165.4M,$4.59M
MIA,206691068.0,32.59,0.1742857142857143,14,37.0,45.0,5586245.081081081,-1.4219176140788568,$206.7M,$5.59M
TOR,171179427.0,18.09,-0.9613333333333334,15,30.0,52.0,5705980.9,-1.468764110577901,$171.2M,$5.71M
WAS,112299146.0,1.1599999999999997,-2.0327272727272727,11,18.0,64.0,6238841.444444444,-1.6053857270363336,$112.3M,$6.24M
CHA,119226938.0,6.57,-1.2375,8,19.0,63.0,6275102.0,-1.6509987769298613,$119.2M,$6.28M
PHX,210076828.0,25.35,-0.013000000000000001,10,36.0,46.0,5835467.444444444,-1.6671626035120606,$210.1M,$5.84M
UTA,143861780.0,11.379999999999999,-1.186923076923077,13,17.0,65.0,8462457.647058824,-2.6452619284900276,$143.9M,$8.46M
PHI,190911701.0,13.62,-0.897142857142857,14,24.0,58.0,7954654.208333333,-2.9238126858180675,$190.9M,$7.95M
NOP,194792682.0,8.86,-1.240909090909091,11,21.0,61.0,9275842.0,-3.4825463628682307,$194.8M,$9.28M
