Team,2025-26,2026-27
Cleveland Cavaliers,$231130835,$239750385
Phoenix Suns,$222204148,$159684770
Milwaukee Bucks,$215430892,$158360144
New York Knicks,$211144602,$206735628
Golden State Warriors,$205341467,$213214648
Dallas Mavericks,$204748448,$217137648
Houston Rockets,$202689411,$184925541
Minnesota Timberwolves,$202580978,$197277186
Boston Celtics,$202252224,$180627000
Los Angeles Lakers,$197820805,$108557731
Philadelphia 76ers,$196855404,$178743004
Portland Trail Blazers,$196375648,$165032342
Miami Heat,$195940117,$160886195
Los Angeles Clippers,$194667024,$175008627
Orlando Magic,$193471232,$222030208
Toronto Raptors,$188430978,$190653791
Denver Nuggets,$188297059,$217889133
Oklahoma City Thunder,$186877564,$246151772
New Orleans Pelicans,$185992845,$198129850
Sacramento Kings,$184484407,$189888948
San Antonio Spurs,$182234835,$152768566
Indiana Pacers,$181310632,$182024751
Memphis Grizzlies,$181039285,$182542773
Atlanta Hawks,$179928695,$161352766
Chicago Bulls,$174275854,$86066150
Charlotte Hornets,$171151713,$144586157
Detroit Pistons,$168792037,$131344170
Washington Wizards,$164017184,$67295546
Utah Jazz,$147719904,$104346912
Brooklyn Nets,$143305333,$118114231
