TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK
1610612737,Atlanta Hawks,16,9,7,0.563,768.0,113.4,115.2,110.5,113.2,2.9,2.0,0.709,1.96,21.0,0.27,0.669,0.478,0.152,0.567,0.602,104.2,102.19,85.16,1635,0.522,5,12,14,14,12,16,15,16,3,8,1,26,27,26,16,7,8,11,11
1610612738,Boston Celtics,16,8,8,0.5,768.0,114.3,117.4,109.7,112.8,4.6,4.5,0.578,2.07,17.6,0.335,0.673,0.499,0.121,0.533,0.561,99.1,96.44,80.36,1543,0.509,5,17,17,17,12,8,14,11,29,4,23,9,24,17,1,22,26,30,15
1610612751,Brooklyn Nets,15,3,12,0.2,720.0,108.7,112.3,119.7,122.7,-10.9,-10.3,0.661,1.66,18.2,0.302,0.651,0.466,0.154,0.523,0.566,100.7,97.9,81.58,1467,0.435,18,26,25,26,27,24,29,26,8,17,19,18,30,27,19,25,23,28,26
1610612766,Charlotte Hornets,15,4,11,0.267,725.0,112.0,114.5,117.4,118.2,-5.4,-3.6,0.645,1.59,18.1,0.354,0.752,0.546,0.162,0.537,0.58,102.5,101.06,84.22,1527,0.484,18,24,22,24,23,19,23,21,10,23,20,3,1,2,23,20,17,18,20
1610612741,Chicago Bulls,15,8,7,0.533,730.0,112.7,114.3,115.4,116.8,-2.7,-2.5,0.69,1.91,20.1,0.277,0.707,0.5,0.148,0.556,0.593,105.5,104.15,86.79,1585,0.498,18,17,14,16,19,20,21,20,5,9,4,23,7,16,13,11,12,2,17
1610612739,Cleveland Cavaliers,17,11,6,0.647,821.0,113.7,116.1,109.7,112.0,3.9,4.1,0.642,1.85,18.5,0.314,0.687,0.496,0.142,0.545,0.58,104.8,102.61,85.51,1755,0.51,2,4,9,8,4,14,8,12,11,11,13,15,15,18,10,15,19,8,14
1610612742,Dallas Mavericks,17,5,12,0.294,831.0,103.4,105.4,108.5,110.6,-5.1,-5.3,0.62,1.4,16.9,0.267,0.691,0.486,0.165,0.512,0.554,105.5,103.45,86.21,1787,0.479,2,21,25,23,3,30,3,23,16,30,28,28,14,22,25,27,27,4,22
1610612743,Denver Nuggets,15,12,3,0.8,725.0,121.0,121.6,109.5,110.9,11.5,10.7,0.653,2.09,20.0,0.319,0.713,0.53,0.137,0.576,0.621,101.9,101.06,84.22,1527,0.57,18,3,3,3,23,2,4,2,9,3,5,12,5,3,5,3,1,18,2
1610612765,Detroit Pistons,15,13,2,0.867,725.0,114.0,116.3,107.6,109.6,6.5,6.7,0.616,1.76,18.3,0.353,0.674,0.515,0.149,0.543,0.578,103.5,101.53,84.61,1533,0.55,18,2,2,2,23,13,2,4,22,13,17,4,22,9,14,17,20,15,4
1610612744,Golden State Warriors,18,9,9,0.5,869.0,110.9,112.6,110.5,112.2,0.4,0.4,0.696,1.6,19.0,0.285,0.682,0.482,0.166,0.545,0.59,103.2,101.61,84.67,1836,0.494,1,12,19,17,1,23,10,17,4,22,10,21,18,23,26,14,15,13,18
