TeamID,TeamCity,TeamName,WINS,LOSSES,WinPCT,Full_Name
1610612739,Cleveland,Cavaliers,64,18,0.78,Cleveland Cavaliers
1610612760,Oklahoma City,Thunder,68,14,0.829,Oklahoma City Thunder
1610612738,Boston,Celtics,61,21,0.744,Boston Celtics
1610612745,Houston,Rockets,52,30,0.634,Houston Rockets
1610612747,Los Angeles,Lakers,50,32,0.61,Los Angeles Lakers
1610612752,New York,Knicks,51,31,0.622,New York Knicks
1610612754,Indiana,Pacers,50,32,0.61,Indiana Pacers
1610612743,Denver,Nuggets,50,32,0.61,Denver Nuggets
1610612746,LA,Clippers,50,32,0.61,LA Clippers
1610612749,Milwaukee,Bucks,48,34,0.585,Milwaukee Bucks
1610612765,Detroit,Pistons,44,38,0.537,Detroit Pistons
1610612750,Minnesota,Timberwolves,49,33,0.598,Minnesota Timberwolves
1610612753,Orlando,Magic,41,41,0.5,Orlando Magic
1610612744,Golden State,Warriors,48,34,0.585,Golden State Warriors
1610612763,Memphis,Grizzlies,48,34,0.585,Memphis Grizzlies
1610612737,Atlanta,Hawks,40,42,0.488,Atlanta Hawks
1610612741,Chicago,Bulls,39,43,0.476,Chicago Bulls
1610612758,Sacramento,Kings,40,42,0.488,Sacramento Kings
1610612742,Dallas,Mavericks,39,43,0.476,Dallas Mavericks
1610612748,Miami,Heat,37,45,0.451,Miami Heat
1610612756,Phoenix,Suns,36,46,0.439,Phoenix Suns
1610612761,Toronto,Raptors,30,52,0.366,Toronto Raptors
1610612757,Portland,Trail Blazers,36,46,0.439,Portland Trail Blazers
1610612751,Brooklyn,Nets,26,56,0.317,Brooklyn Nets
1610612755,Philadelphia,76ers,24,58,0.293,Philadelphia 76ers
1610612759,San Antonio,Spurs,34,48,0.415,San Antonio Spurs
1610612766,Charlotte,Hornets,19,63,0.232,Charlotte Hornets
1610612740,New Orleans,Pelicans,21,61,0.256,New Orleans Pelicans
1610612762,Utah,Jazz,17,65,0.207,Utah Jazz
1610612764,Washington,Wizards,18,64,0.22,Washington Wizards
